类别,文本
娱乐,李宗霖新歌《仅此而已》上线 唱出单向奔赴的爱情
娱乐,《灌篮高手》上映13周重回日本周末票房榜冠军
娱乐,迪士尼在职时间最长员工伯尼马丁森逝世 享年87岁
娱乐,电影《望道》举行上海媒体超前观影会
娱乐,北野武小说《落伍》改编电影 二宫和也和波瑠合作
娱乐,《大侦探8》用法治文艺节目创新普法形式
娱乐,专家评儿童电影《远山花开》：有温度、接地气
娱乐,影迷评《蚁人与黄蜂女》：高潮迭起 笑点频出
娱乐,马伯庸：预料之外费启鸣把丰宝玉演活了
娱乐,北京卢米埃影城2023瑞士电影展开幕
娱乐,“职场+”或成今年综艺新风口
娱乐,这些亲密关系热词 《再见爱人》主创有解读
娱乐,电影 《无名》宣布延长上映至3月31日
娱乐,从大结局，看《狂飙》为什么能“飙”起来
娱乐,《狂飙》“老默”扮演者冯兵:希望下次演正面角色
娱乐,《君子盟》：拍得确实很“君子” 淡如水
娱乐,开年第一爆款剧《狂飙》是如何炼成的？
娱乐,再现平凡生活 《我们的日子》着重对“日子”描摹
娱乐,《我们的日子》：复刻八十年代生活细节
娱乐,经典IP翻拍 电视剧《三体》做对了什么？
娱乐,制片人揭秘：《狂飙》如何成为“开年爆剧”？
娱乐,用小作文告别角色 《狂飙》又赢了
娱乐,张学友《日出时让街灯安睡》MV治愈发布 慰藉心灵
娱乐,《流浪地球2》路演收官 郭帆动情感谢吴京帮助
娱乐,杨紫方澄清从未组织集资群演招募 呼吁理智追星
娱乐,HYBE回应收购SMTOWN股份:目前还没有确定的事项
娱乐,周恩洋《我要飞起来在千米外》上线 解锁新曲风
娱乐,《再见爱人2》收官！孙怡说希望有新身份来第三季
娱乐,杨幂和杨颖哪个好看？张大大：都太瘦了不好看
娱乐,热血国风！井胧携歌曲《骁》唱响元宵晚会
娱乐,新浪观影团《蚁人与黄蜂女：量子狂潮》免费抢票
娱乐,影迷评《中国乒乓之绝地反击》：高燃热血
娱乐,连淮伟被指疑似恋情曝光 当事人回应称是工作人员
娱乐,詹姆斯古恩让观众投票是否保留超人红内裤
娱乐,新浪观影团《中国乒乓之绝地反击》免费抢票
娱乐,《全员加速中》确认重启！现已发布猎人招募令
娱乐,2022日本电影概况：三部动画票房超百亿打破纪录
娱乐,不愧是赛博魅魔！郭帆几天前包场所有春节档电影
娱乐,2023央视春晚节目收视率top10 最高为圆桌脱口秀
娱乐,影迷评《满江红》：剧情反转惊艳 节奏行云流水
娱乐,影迷评《流浪地球2》：特效酷炫 情节感人
娱乐,影迷评《无名》：情节烧脑 演技在线
娱乐,影迷评《深海》：瑰丽璀璨 温暖治愈
娱乐,《满江红》票房破30亿 卖座同时争议声不绝于耳
娱乐,李一桐首次回应资源咖 称是听过比较离谱的谣言
娱乐,张学友《日出时让街灯安睡》用全新心境祝贺新年
娱乐,洗米华长子晒自拍笑容灿烂 开心度假无压力
娱乐,舒淇为林心如庆生称其“瘦星” 两姐妹托腮可爱
娱乐,宁财神回应《满江红》剧情巧合：八杆子挨不上
娱乐,华语电影《白塔之光》入围2023柏林电影节主竞赛
娱乐,带兄弟上春晚？再就业男团：收到“暗号”了！
娱乐,新浪观影团《流浪地球2》免费抢票
娱乐,新浪观影团《满江红》卢米埃影城免费抢票
娱乐,新浪观影团《深海》免费抢票
娱乐,新浪观影团《无名》卢米埃影城免费抢票
娱乐,张学友《日出时让街灯安睡》学会放下才能领悟
娱乐,《大兵小将的知识迷宫》以游戏框架科普微纪录片
娱乐,网络不是法外之地 黑粉登报郑重向喻言道歉
娱乐,上映第33天 《阿凡达2》内地票房突破15亿
娱乐,《熊出没·伴我“熊芯”》：欢乐感动 温暖治愈
娱乐,刘亦菲《花木兰》电影频道首播 收视率全频道第一
娱乐,何平导演治丧委员会颁布丧葬事宜 不开追悼会
娱乐,《中国奇谭》已在筹备第二季 为动漫IP提供新机会
娱乐,李珏导演程青松监制电影《洋子的困惑》入围平遥
娱乐,GAI周延：川渝之外，歌迷广东最多
娱乐,2023金球奖奖项揭晓:杨紫琼凯特布兰切特双摘影后
娱乐,多种形式节目扎堆 为何音乐综艺爆款越来越难见？
娱乐,新浪观影团《熊出没·伴我“熊芯”》首映抢票
娱乐,2023央视春晚完成第三次彩排 各行业普通人加入
娱乐,《我们的客栈》首播告捷 用真诚与真实打动观众
娱乐,华鼎奖欲创一流娱乐奖项 取消不到场不颁奖规定
娱乐,中央广播电视总台2023春晚吉祥物及文创产品发布
娱乐,著名京剧表演艺术家毕谷云去世 享年九十三岁
娱乐,郑爽律师发声 否认郑爽曾虐待或忽视孩子
娱乐,《最强大脑》十周年为观众写信：尽全力不负期望
娱乐,NCT官方发布公告 称楷灿因身体原因不参加行程
娱乐,LE SSERAFIM新单曲被选为日剧《三千日元》主题曲
娱乐,郎朗群访透露吉娜主持北京台春晚 两人共迎新春
娱乐,2023年新片单发布 TVB港剧谁能“出圈”？
娱乐,张子枫：“回来的女儿”是个心中有爱的野孩子
娱乐,《纵有疾风起》靳东人到中年“组团创业”
娱乐,《去有风的地方》刘亦菲李现踏上追寻自我之旅
娱乐,日本电影网站评选2022年最吸引人的演员和作品
娱乐,杨迪回应被说像人贩子 称帽子没选好小孩是外甥
娱乐,泰星Aump疑与富豪男友分手 疑似因为第三者介入
娱乐,第三届金榆花奖澳门揭晓 《人生大事》获最佳影片
娱乐,歌唱家斯兰现身2023央视跨年晚会演唱《故乡》
娱乐,华鼎奖世界青年电影短片大赛启动
娱乐,"著名""双字辈""滑稽表演艺术家李青去世 享年91岁"
娱乐,全力以赴打开更美未来 东方卫视跨年盛典即将开启
娱乐,《灌篮高手》连续四周夺冠 票房突破50亿日元
娱乐,日媒曝杰尼斯事务所税费漏报 共计约65亿日元
娱乐,《前任4》官宣开机 韩庚郑恺继续担任主演
娱乐,第三届澳涞坞-好莱坞颁奖季拉开序幕
娱乐,齐鲁晚报评《无限超越班》：给年轻人“立规矩”
娱乐,朱珠自曝结婚生子原因 称疫情让自己慢了下来
娱乐,电影《灌篮高手》获赞 业内人士称改编最忠实原著
娱乐,健身综艺《哎呀好身材4》 以新鲜切口释放力量
娱乐,酷我音乐ing场景音乐上线 打造可视可听沉浸体验
娱乐,韦恩斯坦被判三项性侵罪名成立 此前已被判刑23年
娱乐,首届澳涞坞五大洲电影节金莉花奖揭晓
娱乐,《喜剧大赛2》收官 某某某少爷和我获年度冠亚军
娱乐,全球视听科技论坛在洛杉矶举办
娱乐,好莱坞知名制片人们热议：看电影必须去影院吗？
娱乐,影迷评《阿凡达：水之道》：视效炸裂 美轮美奂
娱乐,赵樱子被骂后再次发博 告诫自己要有强大的心脏
娱乐,央华版《如梦之梦》北京站部分场次取消
娱乐,全球电影学院院长论坛举办 重磅嘉宾共话电影业
娱乐,于和伟透露抗原仍是两道杠：夕阳很美，我很沮丧
娱乐,中美文化产业峰会举办 呼吁中美加强影视合作
娱乐,老牌IP《妻子的浪漫旅行6》生发活力照亮婚姻
娱乐,杨迪回应照片被当护体符：口罩一定比表情包管用
娱乐,从被批到获赞？《灌篮高手》非常规宣传引发关注
娱乐,Netflix宣布拍摄《我的英雄学院》真人电影
娱乐,《无限超越班》网课直播 李一桐id竟是“你大姐”
娱乐,王海歌担任首届澳涞坞五大洲电影节评委会主席
娱乐,首届世界电影产业大会举行 众多电影大咖参加
娱乐,新海诚：十年间的想法都浓缩在《铃芽之旅》中
娱乐,连淮伟回归 《Mission Complete》开启事业新航线
娱乐,影迷评《名侦探柯南》：环环相扣 情怀满满
娱乐,DC《小丑2》开拍首发剧照 菲尼克斯回归出演小丑
娱乐,网友称期待胡夏唱《这些年》 胡夏：我没唱过
娱乐,李毓芬新歌《再见公主》发布 告别以往重塑自我
娱乐,李光洁：与赵丽颖上演一场“势均力敌的爱情”
娱乐,新浪观影团《阿凡达：水之道》3D全国三城抢票
娱乐,北青报评音综尴尬遇冷现状 下个风口或是慢综艺？
娱乐,金晨再发微博疑似回应 此前模仿卡塔尔王子引争议
娱乐,《时间的答卷2》收官 初雯雯救助河狸等野生动物
娱乐,松竹新浪潮代表导演之一吉田喜重去世 享年89岁
娱乐,首届世界电影产业大会将举办全球电影制片人论坛
娱乐,世界电影产业大会“八大议题”确定
娱乐,《城市猎人》曝北条司创作海报 沿用原版配音演员
娱乐,赵丽颖申请对侵权方限制消费 案由系名誉权纠纷
娱乐,先锋摇滚满天星乐队《黑色基因》首唱会上线
娱乐,第34届华鼎奖获奖名单:《杰伊·比姆》获最佳影片
娱乐,《龙马！新生网球王子》定档12月23日内地上映
娱乐,第34届华鼎奖公布评委会名单 王海歌任主席
娱乐,"《令人心动的offer》第四季 看""建""00后职场首秀"
娱乐,《再见爱人2》郭采洁谈画像是双向的钥匙
娱乐,日本导演崔洋一去世享年73岁 北野武等发言哀悼
娱乐,电影《走到尽头》翻拍日本版 冈田准一绫野刚出演
娱乐,世界电影产业大会举办在即 加州议长致信王海歌
娱乐,"《滚烫人生2》：限定“男人帮”,再讲烫人的故事"
娱乐,吉克隽逸妈妈熬夜看世界杯 感叹梅西进球太厉害
娱乐,香港即将推出首个男男恋爱综艺《仔仔一堂》
娱乐,新疆一小区发生火灾致10人死亡 迪丽热巴发文悼念
娱乐,首届澳涞坞五大洲电影节金莉花奖提名揭晓
娱乐,是枝裕和谈日韩电影业差距：日本还有许多要学的
娱乐,花儿乐队助阵周晓鸥 新歌《我们》唱出怀念
娱乐,齐鲁晚报评《再见爱人2》：亲密关系的必修课
娱乐,《闪耀吧！中华文明》收官 破译甲骨上的文明密码
娱乐,新丽出品《卿卿日常》爆火出圈 两人三餐温暖治愈
娱乐,世界电影产业大会发布会旗标识
娱乐,《在希望的田野上》陶思源: 综艺中感受温暖乡村
娱乐,于贞官宣加入氧气娱乐OXYGEN 全新作品进入筹备期
娱乐,第34届华鼎奖提名揭晓 四国影片角逐最佳
娱乐,"齐鲁晚报评《毛雪汪》：“榨菜综艺”,有滋有味"
娱乐,陈小春张智霖等回归 《大湾仔的夜2》开启美食季
娱乐,昆汀说现在是好莱坞最烂时代 透露自己最棒的电影
娱乐,《速激10》制作成本暴涨至3.4亿 比前部花费多70%
娱乐,“指人儿”乐队《不负晴日》乐动开场
娱乐,申元虎宣布下月入伍：有做准备不会让粉丝无聊
娱乐,国产医疗剧集视角更丰富
娱乐,古偶剧悄悄尝试“童话叙事”
娱乐,《点燃我，温暖你》：反类型化男主住在热搜里
娱乐,电视剧《我们这十年》研讨会举行
娱乐,蔡文静：这个角色打动我的是她的蜕变
娱乐,新浪观影团《名侦探柯南：万圣节的新娘》抢票
娱乐,《乐队的海边》开播 郑秀妍赵梦等上演音乐新旅程
娱乐,法医刘良：综艺让法医行业“破圈”
娱乐,曾与章子怡等同框 支行行长退休后当群演
娱乐,人民日报海外版评抗疫题材剧：要好看还要走心
娱乐,TVB公布2023片单 张达明出山监制 《状王之王》
娱乐,IXFORM组合解散 唐九洲成立个人工作室
娱乐,第35届中国电影金鸡奖获奖名单
娱乐,金鸡奖奖项：齐溪凭《奇迹·笨小孩》获最佳女配
娱乐,十月电视剧备案公示 《海上明珠》等小说影视化
娱乐,《超级装备》第二季：中国尖端装备的奇迹与梦想
娱乐,中国电影基金会第六期吴天明青年编剧研习班闭幕
娱乐,延伸原IP热度持续吸睛 “衍生综艺”越战越勇
娱乐,《摇滚狂花》：如果生活注定失败 我们该怎么办
娱乐,《边缘世界》科技替代人的最大BUG在于诗意的消失
娱乐,很遗憾 《剖析丑闻》让精英政客伏法的还是特权
娱乐,退休支行行长“群演”的幸福生活
娱乐,《底线》：现实温度的成功与伦理化策略的失灵
娱乐,北京卢米埃影城“2022意大利电影展”即将开幕
娱乐,第二届金榆花奖在澳门揭晓 张艺谋获最佳导演
娱乐,《时间的答卷》枪弹痕迹鉴定专家崔道植坚毅破案
娱乐,园子温发声明反驳“用假名偷偷复出”报道
娱乐,《雪落下的声音》直击人心 陆虎迎来又一春
娱乐,汪天云浅析《超级装备》第二季：科学精神的放飞
娱乐,《超级装备》重巧深 把“智造美学”焊在了每一帧
娱乐,原创音乐剧《画皮》北京首演 献上东方魔幻之夜
娱乐,第六期吴天明青年编剧研习班在莱芜开幕
娱乐,TXT成员姜太显感染新冠 其他成员检测均为阴性
娱乐,世界电影产业大会登美国权威《Variety》杂志封面
娱乐,《披荆斩棘》收官 全能唱演家族接续传承奋斗力量
娱乐,女佣起诉亚马逊创始人贝索斯：一天要工作14小时
娱乐,生活是脱口秀最可靠的源泉
娱乐,中岛裕翔时隔6年主演电影《窨井盖》 明年2月上映
娱乐,《时间的答卷2》支教教师夫妇为孩子架起知识云梯
娱乐,北京青年报评《脱口秀大会5》：继续探索继续进化
娱乐,第31届金鹰奖最佳电视综艺节目入围名单公布
娱乐,《叛逆者》获飞天奖 朱一龙称信仰让我们心中有光
娱乐,“写歌锦鲤”陆虎成功“再就业”
娱乐,被打差评的“好声音”路在何方
娱乐,ITZY将回归？新专辑发售日期意外公开引期待
娱乐,张光北追忆陆树铭：我们真的就是亲如兄弟
娱乐,导演王扶林曾透露“关羽”陆树铭险被换角
娱乐,北京青年报评《沸腾校园》：让我们共情了年轻人
娱乐,为传统经典增添青春色彩 《美好年华研习社》收官
娱乐,这档节目“大而美” 古籍因此“活起来”
娱乐,欢瑞租赁违约后讨要百万意向金 二审败诉
娱乐,用舞蹈“讲述”中国故事 《这！就是街舞5》收官
娱乐,于明加许圣楠主演话剧《渐入佳境》首轮演出收官
娱乐,《劳工之爱情》诞生百年 电影资料馆举行特别放映
娱乐,上译厂“跨行”录有声剧 四大名著今年将全部完成
娱乐,胆小内向的“梁格格”康可人 因为表演告别紧张
娱乐,《小满生活》杀青 秦昊蒋欣王鸥解读“人间真实”
娱乐,火起来的“小鲜综”不能只靠蹭热度
娱乐,《时间的答卷》第二季 三星堆旁三代考古人的接力
娱乐,浅野一二〇漫画《零落》改编电影 斋藤工等出演
娱乐,Gap发布最新声明：终止和Kanye合作
娱乐,《底线》成功塑造法助王姐 王一楠配角也出挑
娱乐,常远: 我还在期待喜剧的“神来之笔”
娱乐,多对CP二搭 别让荧屏情侣档引发观众审美疲劳
娱乐,《前海》导演刘雪松：梦想与成长比成功更重要
娱乐,《秘密森林》或将推出第三季 制作公司称在讨论中
娱乐,横滨流星分享新片拍摄感受 称太投入差点失去意识
娱乐,青年人为什么爱上脱口秀？
娱乐,林峯：抛开杂念 对得起自己就好
娱乐,《时间的答卷》第二季 聂海胜带观众回望飞天之路
娱乐,"《齐鲁晚报》评詹雯婷：灵魂歌者,归来仍是主场"
娱乐,艺术总监毛卫宁揭秘《我们这十年》创作密码
娱乐,评论：主旋律剧“平民史诗”霸屏
娱乐,评《我们这十年》之《前海》：希望永远动人
娱乐,评《我们这十年》：《唐宫夜宴》又回来了
娱乐,青春校园剧刮起喜剧风
娱乐,嘉宾压宝金钟奖得主 小S说最大对手是黄子佼
娱乐,《底线》：法治剧类型突破 主旋律题材剧的烟火气
娱乐,小演员在角色中不断成长
娱乐,新剧角色有些“离经叛道” 姚晨的大女主味道变了
娱乐,从《三悦有了新工作》看用户圈层
娱乐,《三悦》导演李漠：用平静的心态谈论“生死”
娱乐,蔡文静：诠释新时代法官须把握“分寸感”
娱乐,《底线》导演：法治剧要拍出法官真实烟火气
娱乐,《唐宫夜宴》编剧揭秘“唐宫小姐姐”诞生幕后
娱乐,刘雪松：《前海》打动人的不是成功而是希望
娱乐,《最后生还者》剧版曝预告 佩德罗·帕斯卡领衔
娱乐,《披荆斩棘》民谣诗人马頔：甘愿投奔市井生活
娱乐,时隔六年开嗓？蕾哈娜将为《黑豹2》献唱2首新歌
娱乐,吴卓羲：认真做演员，轻松做自己
娱乐,“碧梨”新恋情曝光 男友为31岁歌手杰西卢瑟福
娱乐,《时间的答卷》展现奋斗者号总设计师叶聪的梦想
娱乐,国庆档影片正能量汇聚 《万里归途》满意度领跑
娱乐,王家卫《繁花》还在拍 网友：胡歌从30多拍到40了
娱乐,《这十年·追光之夜》：以时间为轴追光祖国发展
娱乐,《美国偶像》亚军史彭斯因车祸去世 享年23岁
娱乐,《幸福中国》首播 跨越千年看遍今日幸福中国
娱乐,lulu被影射双面人 黄子佼出面为lulu发声
娱乐,《时间的答卷2》定档 讲述榜样人物的追梦故事
娱乐,霉霉2023巡演或将于11月开始售票 规模盛大受期待
娱乐,电影《如果爱就表白》开机 展现大理风土人情
娱乐,《闪耀吧！中华文明》：用新的表达方式讲新故事
娱乐,总导演独家揭秘《2022重阳奇妙游》“小心机”
娱乐,曝《四月间事》将影视化 改编自尾鱼小说
娱乐,谢泽成郭耘奇：爆笑的东西一觉醒来可能不好笑了
娱乐,置身六大文明考古现场 陈坤直言三星堆超出想象
娱乐,音乐人77Ke柯棨棋创作并演唱《Take It Away》
娱乐,布兰妮发文回应母亲的道歉：收回你的道歉
娱乐,万里归途背后是祖国对海外侨胞安全的念兹在兹
娱乐,许玮甯自曝胸部曾长肿块 拍X光痛到哭出来
娱乐,吴慷仁幽默分享被虎头蜂蛰经历 已被送往医院治疗
娱乐,黄圣依主演话剧《让我牵着你的手》上海开演
娱乐,任天堂影业成立：拥有105名员工 11月开放招聘
娱乐,罗永浩发文评《脱口秀5》 为优秀选手淘汰叹可惜
