类别,文本,分词结果,label
2,第36届华鼎奖好莱坞开奖 世界青年短片大赛揭晓,届华鼎奖 好莱坞 开奖 世界 青年 短片 大赛 揭晓,0
2,新浪观影团《银河护卫队3》免费观影抢票,新浪 观影 银河 护卫队 免费 观影 抢票,0
2,《四郎探母》《红楼二尤》等四部京剧电影上映,四郎探母 红楼 四部 京剧 电影 上映,0
2,电影《白塔之光》北影节首映 柏林后再获观众好评,电影 白塔 之光 北影 首映 柏林 观众 好评,0
2,《经典咏流传正青春》发布会:以焕新姿态奋进前行,经典 流传 青春 发布会 以焕 姿态 奋进 前行,0
2,第96届奥斯卡颁奖礼将于2024年3月11日举行,奥斯卡 颁奖礼,0
2,周恩洋KILLA全新原创单曲《Here Before》发布,周恩洋 全新 原创 单曲 发布,0
2,日剧《宽松世代又如何》拍电影版 日本定档10月,日剧 宽松 世代 电影版 日本 定档,0
2,《极限挑战》将播 忠贞爱情故事感动“极挑团”,极限 挑战 将播 忠贞 爱情故事 感动 挑团,0
2,影迷评《灌篮高手》：青春热血 重燃赛场,影迷 灌篮高手 青春 热血 重燃 赛场,0
2,已故英女王97岁诞辰 温馨家庭合影公布,已故 英女王 诞辰 温馨 家庭 合影 公布,0
2,陈凯歌新片《志愿军》定档国庆 影片仍在拍摄中,陈凯歌 新片 志愿军 定档 国庆 影片 拍摄,0
2,KAKA李奕可参与制作檀健次新歌 4月20日上线,李奕可 参与 制作 檀健次 新歌 上线,0
2,电影《长安三万里》定档暑期 聚焦高适李白的故事,电影 长安 三万里 定档 暑期 聚焦 高适 李白 故事,0
2,陈昊姝新歌《Smell》上线 描绘少女的初恋心情,陈昊 新歌 上线 描绘 少女 初恋 心情,0
2,梦然最新情歌单曲《不想天黑》发布,梦然 最新 情歌 单曲 不想 天黑 发布,0
2,新浪观影团《长空之王》五一假期免费抢票,新浪 观影 长空 之王 五一 假期 免费 抢票,0
2,全球智媒体大会澳门峰会 张卫谭飞阿郎等嘉宾出席,全球 媒体 大会 澳门 峰会 张卫 谭飞 阿郎 嘉宾 出席,0
2,王宝强导演电影《八角笼中》定档7月6日全国上映,王宝强 导演 电影 八角 笼中 定档 全国 上映,0
2,柯南剧场版《黑铁的鱼影》票房破纪录 有望超百亿,柯南 剧场版 黑铁 鱼影 票房 破纪录 有望 百亿,0
2,电影《白色闪电》开机 青春因你而献上,电影 白色 闪电 开机 青春 献上,0
2,王丹妮因金像奖现场没认出“枢”字道歉,王丹妮 金像奖 现场 认出 道歉,0
2,陈奕迅全新巡演香港27场开唱 打造全新主题,陈奕迅 全新 巡演 香港 开唱 打造 全新 主题,0
2,《咒怨》导演新片曝海报 日本定档8月11日,咒怨 导演 新片 海报 日本 定档,0
2,荒井晴彦新片《花腐》海报公开 预计今年冬季上映,荒井晴彦 新片 花腐 海报 公开 预计 冬季 上映,0
2,看电影主编阿郎：电影创作者要平等看待青年观众,电影 主编 阿郎 电影 创作者 平等 看待 青年 观众,0
2,《极限挑战》第九季开播 首期上演全员入睡名场面,极限 挑战 第九 开播 首期 上演 全员 入睡 场面,0
2,《斯文江南2》开播：岳云鹏“超时空对话”陶渊明,斯文 江南 开播 岳云鹏 超时空 对话 陶渊明,0
2,这就是街舞制作方灿星文化成被执行人,街舞 制作方 灿星 文化 被执行人,0
2,新浪观影团《灌篮高手》粉丝专场免费抢票,新浪 观影 灌篮高手 粉丝 专场 免费 抢票,0
2,胡枫获第41届香港电影金像奖“终身成就奖”,胡枫 香港电影 金像奖 终身 成就奖,0
2,世界电影节主席论坛举行 文隽对香港电影充满信心,世界 电影节 主席 论坛 文隽 香港电影 充满信心,0
2,中森明菜演唱会推出4K版电影 4月28日日本上映,中森明 演唱会 推出 电影 日本 上映,0
2,王力宏演唱会将于6月10日在曼谷举行,王力宏 演唱会 曼谷,0
2,世界电影产业大会落幕 历时近七个月举办16场活动,世界 电影 产业 大会 落幕 历时 七个 举办 活动,0
2,Ella回应网传《乘风2023》初舞台第一：看看就好,回应 网传 乘风 舞台 第一,0
2,悬疑片《走到尽头》曝预告 冈田准一绫野刚合作,悬疑片 尽头 预告 冈田 准一绫野刚 合作,0
2,冯小刚说自己拍不了甜宠剧 只能驾驭现实主义,冯小刚 甜宠剧 只能 驾驭 现实主义,0
2,《极限挑战9》阵容官宣 诠释一往无前的向上精神,极限 挑战 阵容 官宣 诠释 一往无前 向上 精神,0
2,王海歌获美国国会议员刘云平表彰,王海歌 美国国会 议员 刘云平 表彰,0
2,《无间》《薄冰》热播 谍战剧依然被青睐,无间 薄冰 热播 谍战剧 依然 青睐,0
2,赵阳：《他是谁》聂宝华就是“宠妹狂魔”,赵阳 宝华 宠妹,0
2,《了不起!舞社2》定档 总导演谈多元化主理人选择,了不起 舞社 定档 总导演 多元化 主理 选择,0
2,王海歌获第36届华鼎奖杰出成就奖,王海歌 届华鼎奖 杰出 成就奖,0
2,乡村生活综艺：打造现代人的“武陵源”,乡村 生活 综艺 打造 现代人 武陵源,0
2,影迷评《超级马力欧兄弟大电影》：色彩艳丽,影迷 超级 马力 兄弟 电影 色彩艳丽,0
2,历“9”弥新，一往无前！《极限挑战》第九季官宣,弥新 一往无前 极限 挑战 第九 季官,0
2,《模仿犯》成绩优异 吴慷仁发文感谢工作人员,模仿 成绩 优异 吴慷仁 发文 感谢 工作人员,0
2,安俊英出狱后再入职Mnet引争议 CJENM发声明道歉,安俊英 出狱 入职 争议 发声明 道歉,0
2,两大香港艺团联袂呈献大型舞剧《布兰诗歌》,两大 香港 艺团 呈献 大型 舞剧 布兰 诗歌,0
2,杨紫琼好莱坞再获第36届华鼎奖全球影后,杨紫琼 好莱坞 届华鼎奖 全球 影后,0
2,澳涞坞五大洲电影节金莉花奖揭晓 《妈妈！》获奖,澳涞坞 五大洲 电影节 金莉花奖 揭晓 妈妈 获奖,0
2,乡村生活综艺：描绘乡村振兴美好蓝图,乡村 生活 综艺 描绘 乡村 振兴 美好 蓝图,0
2,是枝裕和阪元裕二《怪物》公开海报和部分剧情,枝裕和阪 元裕二 怪物 公开 海报 剧情,0
2,容祖儿Eternity演唱会澳门开唱 打造全新舞台,容祖儿 演唱会 澳门 开唱 打造 全新 舞台,0
2,新浪观影团《超级马力欧兄弟大电影》3D抢票,新浪 观影 超级 马力 兄弟 电影 抢票,0
2,北京卢米埃影城2023年意大利影像展即将开幕,北京 卢米 影城 意大利 影像 开幕,0
2,影迷评《忠犬八公》：温暖治愈 催泪感人,影迷 忠犬八公 温暖 治愈 催泪 感人,0
2,新安江音乐节官宣启动 两场阵容公布,新安江 音乐节 官宣 启动 两场 阵容 公布,0
2,合家欢动画《大旅行》发萌兽联盟版角色海报,合家欢 动画 旅行 发萌兽 联盟 角色 海报,0
2,《新生万物》收官 杨澜称下季将拥抱更多国际视野,新生 万物 收官 杨澜 下季 拥抱 国际 视野,0
2,《水流向大海》公开主演广濑铃大西利空等人剧照,水流 大海 公开 主演 广濑铃 大西 利空 剧照,0
2,《喜欢你我也是4》举办看片会 现场嗑糖氛围爆棚,喜欢 举办 看片会 现场 氛围 爆棚,0
2,比尔·麦克尼柯担任第36届华鼎奖评委会主席,比尔 麦克 尼柯 担任 届华鼎奖 评委会 主席,0
2,王海歌当选澳涞坞五大洲电影节评委会主席,王海歌 当选 澳涞坞 五大洲 电影节 评委会 主席,0
2,中国电影资料馆安溪数字资源中心启动,中国电影资料馆 安溪 数字 资源 中心 启动,0
2,影迷评《不止不休》：演技在线 发人深省,影迷 不休 演技 在线 发人深省,0
2,影迷评《龙与地下城：侠盗荣耀》：诙谐幽默,影迷 地下城 侠盗 荣耀 诙谐 幽默,0
2,乡村振兴纪录电影《加油吧！乡亲们》定档520,乡村 振兴 纪录 电影 加油 乡亲们 定档,0
2,高桥一生《岸边露伴一动不动》巴黎拍摄 首曝预告,高桥 一生 岸边 露伴 一动不动 巴黎 拍摄 预告,0
2,王鹤棣拉刘耀文手打招呼 篮球小老铁互动可爱,王鹤 刘耀文手 打招呼 篮球 小老铁 互动 可爱,0
2,《灌篮高手》发布赤木刚宪角色海报 4月20日上映,灌篮高手 发布 赤木 刚宪 角色 海报 上映,0
2,TVB计划裁员5% 未达预期节目将被终止,计划 裁员 未达 预期 节目 终止,0
2,《声生不息宝岛季》以乐会友，全民共唱华流金曲,声生 不息 宝岛 以乐 会友 全民 共唱 华流 金曲,0
2,新浪观影团《忠犬八公》首映观影免费抢票,新浪 观影 忠犬八公 首映 观影 免费 抢票,0
2,夏奇拉前任皮克回应出轨：只想忠于自己的内心,夏奇拉 前任 皮克 回应 出轨 只想 忠于 内心,0
2,华晨宇火星演唱会加场 杭州成都双城四场门票售罄,华晨 火星 演唱会 加场 杭州 成都 双城 四场 门票 售罄,0
2,黎明澳门演唱会5月开唱14场 将设计全新演出内容,黎明 澳门 演唱会 开唱 设计 全新 演出 内容,0
2,影迷评《雷霆沙赞！众神之怒》：轻松解压,影迷 雷霆 沙赞 众神 之怒 轻松 解压,0
2,《虽然没准备什么菜》回归 将于4月7日公开第2季,回归 公开,0
2,萨日娜：真诚是最好的表演,萨日娜 真诚 表演,0
2,抗美援朝题材电视剧《侦察英雄》开机,抗美援朝 题材 电视剧 侦察 英雄 开机,0
2,《毛雪汪》定档320 郭麒麟做客上演限定小剧场,毛雪 定档 麒麟 做客 上演 限定 小剧场,0
2,新浪观影团《龙与地下城：侠盗荣耀》免费抢票,新浪 观影 地下城 侠盗 荣耀 免费 抢票,0
2,真木阳子时隔五年主演电影《暗流》,真木 阳子 时隔 五年 主演 电影 暗流,0
2,动画《大旅行》定档4月8日 萌兽送熊猫宝宝回家,动画 旅行 定档 萌兽 熊猫 宝宝 回家,0
2,新浪观影团《不止不休》超前观影免费抢票,新浪 观影 不休 超前 观影 免费 抢票,0
2,《哈哈哈哈哈》第三季正在热播 助力地方文旅发展,哈哈哈 第三季 热播 助力 地方 文旅 发展,0
2,影迷评《保你平安》：笑点不断 温暖治愈,影迷 平安 笑点 温暖 治愈,0
2,《种地吧》回归真诚 扎根土地关注农耕问题,种地 回归 真诚 扎根 土地 关注 农耕,0
2,第36届华鼎奖颁布新规则,届华鼎奖 颁布 规则,0
2,《五哈3》首播 五哈团开启“天坑”东北行,五哈 首播 五哈团 开启 天坑 东北,0
2,新浪观影团《保你平安》首映免费抢票,新浪 观影 平安 首映 免费 抢票,0
2,新浪观影团《雷霆沙赞！众神之怒》免费抢票,新浪 观影 雷霆 沙赞 众神 之怒 免费 抢票,0
2,李宗霖新歌《仅此而已》上线 唱出单向奔赴的爱情,李宗霖 新歌 仅此而已 上线 单向 奔赴 爱情,0
2,《灌篮高手》上映13周重回日本周末票房榜冠军,灌篮高手 上映 重回 日本 周末 票房榜 冠军,0
2,迪士尼在职时间最长员工伯尼马丁森逝世 享年87岁,迪士尼 在职 时间 最长 员工 伯尼 马丁 逝世 享年,0
2,电影《望道》举行上海媒体超前观影会,电影 望道 上海 媒体 超前 观影,0
2,北野武小说《落伍》改编电影 二宫和也和波瑠合作,北野武 小说 落伍 改编 电影 二宫 合作,0
2,《大侦探8》用法治文艺节目创新普法形式,侦探 法治 文艺节目 创新 普法 形式,0
2,专家评儿童电影《远山花开》：有温度、接地气,专家 儿童 电影 山花 温度 接地,0
2,影迷评《蚁人与黄蜂女》：高潮迭起 笑点频出,影迷 黄蜂 高潮迭起 笑点 频出,0
2,马伯庸：预料之外费启鸣把丰宝玉演活了,马伯庸 预料 之外 费启鸣 宝玉 演活,0
2,北京卢米埃影城2023瑞士电影展开幕,北京 卢米 影城 瑞士 电影展 开幕,0
2,“职场+”或成今年综艺新风口,职场 或成 综艺 新风,0
2,这些亲密关系热词 《再见爱人》主创有解读,亲密关系 热词 再见 爱人 主创 解读,0
2,电影 《无名》宣布延长上映至3月31日,电影 无名 延长 上映,0
2,从大结局，看《狂飙》为什么能“飙”起来,大结局 狂飙,0
2,《狂飙》“老默”扮演者冯兵:希望下次演正面角色,狂飙 老默 扮演者 冯兵 希望 下次 正面 角色,0
2,《君子盟》：拍得确实很“君子” 淡如水,君子 确实 君子 淡如水,0
2,开年第一爆款剧《狂飙》是如何炼成的？,开年 第一 爆款剧 狂飙 炼成,0
2,再现平凡生活 《我们的日子》着重对“日子”描摹,再现 平凡 生活 日子 着重 日子 描摹,0
2,《我们的日子》：复刻八十年代生活细节,日子 复刻 八十年代 生活 细节,0
2,经典IP翻拍 电视剧《三体》做对了什么？,经典 翻拍 电视剧 三体,0
2,制片人揭秘：《狂飙》如何成为“开年爆剧”？,制片人 揭秘 狂飙 开年 爆剧,0
2,用小作文告别角色 《狂飙》又赢了,作文 告别 角色 狂飙,0
2,张学友《日出时让街灯安睡》MV治愈发布 慰藉心灵,张学友 日出 街灯 安睡 治愈 发布 慰藉 心灵,0
2,《流浪地球2》路演收官 郭帆动情感谢吴京帮助,流浪 地球 路演 收官 郭帆 动情 感谢 吴京,0
2,杨紫方澄清从未组织集资群演招募 呼吁理智追星,杨紫方 澄清 组织 集资 群演 招募 呼吁 理智 追星,0
2,HYBE回应收购SMTOWN股份:目前还没有确定的事项,回应 收购 股份 事项,0
2,周恩洋《我要飞起来在千米外》上线 解锁新曲风,周恩洋 我要 千米 上线 解锁 曲风,0
2,《再见爱人2》收官！孙怡说希望有新身份来第三季,再见 爱人 收官 孙怡 希望 身份 第三季,0
2,杨幂和杨颖哪个好看？张大大：都太瘦了不好看,杨幂 杨颖 好看 好看,0
2,热血国风！井胧携歌曲《骁》唱响元宵晚会,热血 国风 井胧 歌曲 唱响 元宵 晚会,0
2,新浪观影团《蚁人与黄蜂女：量子狂潮》免费抢票,新浪 观影 黄蜂 量子 狂潮 免费 抢票,0
2,影迷评《中国乒乓之绝地反击》：高燃热血,影迷 中国 乒乓 绝地 反击 高燃 热血,2
2,连淮伟被指疑似恋情曝光 当事人回应称是工作人员,连淮伟 疑似 恋情 曝光 当事人 回应 工作人员,0
2,詹姆斯古恩让观众投票是否保留超人红内裤,詹姆斯 古恩 观众 投票 保留 超人 内裤,0
2,新浪观影团《中国乒乓之绝地反击》免费抢票,新浪 观影 中国 乒乓 绝地 反击 免费 抢票,2
2,《全员加速中》确认重启！现已发布猎人招募令,全员 加速 确认 重启 现已 发布 猎人 招募,0
2,2022日本电影概况：三部动画票房超百亿打破纪录,日本 电影 概况 三部 动画 票房 百亿 打破纪录,0
2,不愧是赛博魅魔！郭帆几天前包场所有春节档电影,不愧 赛博魅 郭帆 几天 包场 春节 电影,0
2,2023央视春晚节目收视率top10 最高为圆桌脱口秀,央视春晚 节目 收视率 圆桌 脱口秀,0
2,影迷评《满江红》：剧情反转惊艳 节奏行云流水,影迷 满江红 剧情 反转 惊艳 节奏 行云流水,0
2,影迷评《流浪地球2》：特效酷炫 情节感人,影迷 流浪 地球 特效 酷炫 情节 感人,0
2,影迷评《无名》：情节烧脑 演技在线,影迷 无名 情节 烧脑 演技 在线,0
2,影迷评《深海》：瑰丽璀璨 温暖治愈,影迷 深海 瑰丽 璀璨 温暖 治愈,0
2,《满江红》票房破30亿 卖座同时争议声不绝于耳,满江红 票房 卖座 争议 不绝于耳,0
2,李一桐首次回应资源咖 称是听过比较离谱的谣言,李一桐 首次 回应 资源 离谱 谣言,0
2,张学友《日出时让街灯安睡》用全新心境祝贺新年,张学友 日出 街灯 安睡 全新 心境 祝贺 新年,0
2,洗米华长子晒自拍笑容灿烂 开心度假无压力,洗米 长子 自拍 笑容 灿烂 开心 度假 压力,0
2,舒淇为林心如庆生称其“瘦星” 两姐妹托腮可爱,舒淇 林心如 庆生 称其 瘦星 两姐妹 可爱,0
2,宁财神回应《满江红》剧情巧合：八杆子挨不上,宁财神 回应 满江红 剧情 巧合 杆子 挨不上,0
2,华语电影《白塔之光》入围2023柏林电影节主竞赛,华语 电影 白塔 之光 入围 柏林 电影节 竞赛,0
2,带兄弟上春晚？再就业男团：收到“暗号”了！,兄弟 春晚 就业 男团 收到 暗号,0
2,新浪观影团《流浪地球2》免费抢票,新浪 观影 流浪 地球 免费 抢票,0
2,新浪观影团《满江红》卢米埃影城免费抢票,新浪 观影 满江红 卢米 影城 免费 抢票,0
2,新浪观影团《深海》免费抢票,新浪 观影 深海 免费 抢票,0
2,新浪观影团《无名》卢米埃影城免费抢票,新浪 观影 无名 卢米 影城 免费 抢票,0
2,张学友《日出时让街灯安睡》学会放下才能领悟,张学友 日出 街灯 安睡 学会 放下 领悟,0
2,《大兵小将的知识迷宫》以游戏框架科普微纪录片,大兵 小将 知识 迷宫 游戏 框架 科普 纪录片,0
2,网络不是法外之地 黑粉登报郑重向喻言道歉,网络 法外 黑粉 登报 郑重 喻言 道歉,0
2,上映第33天 《阿凡达2》内地票房突破15亿,上映 阿凡 内地 票房 突破,0
2,《熊出没·伴我“熊芯”》：欢乐感动 温暖治愈,熊出没 熊芯 欢乐 感动 温暖 治愈,0
2,刘亦菲《花木兰》电影频道首播 收视率全频道第一,刘亦菲 花木兰 电影频道 首播 收视率 频道 第一,0
2,何平导演治丧委员会颁布丧葬事宜 不开追悼会,何平 导演 治丧 委员会 颁布 丧葬 事宜 追悼会,0
2,《中国奇谭》已在筹备第二季 为动漫IP提供新机会,中国 奇谭 筹备 第二季 动漫 提供 机会,2
2,李珏导演程青松监制电影《洋子的困惑》入围平遥,李珏 导演 青松 监制 电影 洋子 困惑 入围 平遥,0
2,GAI周延：川渝之外，歌迷广东最多,周延 之外 歌迷 广东,0
2,2023金球奖奖项揭晓:杨紫琼凯特布兰切特双摘影后,金球奖 奖项 揭晓 杨紫琼 凯特 布兰 切特 双摘 影后,0
2,多种形式节目扎堆 为何音乐综艺爆款越来越难见？,多种形式 节目 扎堆 音乐 综艺 爆款 越来越 难见,0
2,新浪观影团《熊出没·伴我“熊芯”》首映抢票,新浪 观影 熊出没 熊芯 首映 抢票,0
2,2023央视春晚完成第三次彩排 各行业普通人加入,央视春晚 第三次 彩排 行业 普通人,0
2,《我们的客栈》首播告捷 用真诚与真实打动观众,客栈 首播 告捷 真诚 真实 打动 观众,0
2,华鼎奖欲创一流娱乐奖项 取消不到场不颁奖规定,华鼎奖 创一流 娱乐 奖项 取消 不到 颁奖,0
2,中央广播电视总台2023春晚吉祥物及文创产品发布,中央 广播电视 总台 春晚 吉祥物 及文创 产品 发布,0
2,著名京剧表演艺术家毕谷云去世 享年九十三岁,著名 京剧 表演艺术家 毕谷云 去世 享年 九十三岁,0
2,郑爽律师发声 否认郑爽曾虐待或忽视孩子,郑爽 律师 发声 否认 郑爽 虐待 忽视 孩子,0
2,《最强大脑》十周年为观众写信：尽全力不负期望,最强 大脑 十周年 观众 写信 尽全力 不负 期望,0
2,NCT官方发布公告 称楷灿因身体原因不参加行程,官方 发布公告 称楷 灿因 身体 原因 参加 行程,0
2,LE SSERAFIM新单曲被选为日剧《三千日元》主题曲,单曲 被选为 日剧 三千 日元 主题曲,0
2,郎朗群访透露吉娜主持北京台春晚 两人共迎新春,郎朗 群访 透露 吉娜 主持 北京 春晚 两人 迎新春,0
2,2023年新片单发布 TVB港剧谁能“出圈”？,新片 发布 港剧,0
2,张子枫：“回来的女儿”是个心中有爱的野孩子,张子枫 回来 女儿 心中 野孩子,0
2,《纵有疾风起》靳东人到中年“组团创业”,疾风 靳东 人到中年 组团 创业,0
2,《去有风的地方》刘亦菲李现踏上追寻自我之旅,地方 刘亦菲 李现 踏上 追寻 自我 之旅,0
