,support
"'bread and cake',biscuits,'frozen foods'",0.32619974059662776
"'tissues-paper prd','frozen foods'",0.32511889321227844
"sauces-gravy-pkle,'frozen foods'",0.3236057068741894
"margarine,biscuits",0.32252485948984005
"'bread and cake',cheese",0.32252485948984005
"sauces-gravy-pkle,fruit",0.3220925205361003
"'bread and cake','pet foods'",0.3220925205361003
"'baking needs',vegetables,fruit",0.3216601815823606
"sauces-gravy-pkle,milk-cream",0.32144401210549073
"'bread and cake',vegetables,biscuits",0.32122784262862086
"'bread and cake',biscuits,milk-cream",0.321011673151751
"'baking needs','bread and cake','frozen foods'",0.32079550367488113
"juice-sat-cord-ms,'party snack foods'",0.3201469952442715
stationary,0.31474275832252485
"'baking needs','bread and cake',biscuits",0.314526588845655
"'tissues-paper prd',biscuits",0.3138780804150454
"vegetables,fruit,'frozen foods'",0.31344574146130566
"'breakfast food','bread and cake'",0.311284046692607
"'soft drinks','bread and cake'",0.3089061824470385
"sauces-gravy-pkle,biscuits",0.30393428447903154
"vegetables,biscuits,fruit",0.30328577604842194
"'baking needs',vegetables,milk-cream",0.3009079118028534
"beef,'bread and cake'",0.29701686121919585
"'baking needs',fruit,milk-cream",0.29507133592736706
"margarine,juice-sat-cord-ms",0.2942066580198876
"'baking needs','bread and cake',margarine",0.29334198011240814
"'bread and cake',fruit,juice-sat-cord-ms",0.2929096411586684
"'tissues-paper prd',juice-sat-cord-ms",0.2924773022049287
"margarine,'tissues-paper prd'",0.29139645482057935
"vegetables,cheese",0.2898832684824903
wrapping,0.2888024210981409
"'breakfast food','baking needs'",0.2883700821444012
"'bread and cake',juice-sat-cord-ms,milk-cream",0.2883700821444012
"'pet foods',vegetables",0.2875054042369217
"'baking needs',vegetables,'frozen foods'",0.287073065283182
"sauces-gravy-pkle,juice-sat-cord-ms",0.28620838737570253
"fruit,'frozen foods',milk-cream",0.2857760484219628
"'bread and cake',vegetables,juice-sat-cord-ms",0.2857760484219628
"vegetables,'bread and cake',margarine",0.28555987894509294
"'bread and cake',fruit,'party snack foods'",0.2853437094682231
"'bread and cake','dairy foods'",0.2851275399913532
"vegetables,'frozen foods',milk-cream",0.2851275399913532
"'baking needs',cheese",0.28426286208387375
"'baking needs',biscuits,'frozen foods'",0.28426286208387375
"cheese,fruit",0.283830523130134
"sauces-gravy-pkle,'party snack foods'",0.28361435365326415
"'bread and cake',vegetables,fruit,milk-cream",0.2833981841763943
"fruit,biscuits,'frozen foods'",0.2827496757457847
"'bread and cake',biscuits,'party snack foods'",0.2821011673151751
"'breakfast food',fruit",0.28188499783830523
"'pet foods',fruit",0.28102031993082577
"'bread and cake',margarine,fruit",0.28102031993082577
"'tissues-paper prd','party snack foods'",0.2808041504539559
"biscuits,fruit,milk-cream",0.2808041504539559
"'bread and cake',margarine,milk-cream",0.2808041504539559
"'bread and cake','tissues-paper prd',fruit",0.2801556420233463
"'baking needs','bread and cake','tissues-paper prd'",0.2795071335927367
"'bread and cake',vegetables,'tissues-paper prd'",0.27929096411586685
"sauces-gravy-pkle,'tissues-paper prd'",0.2788586251621271
"cheese,milk-cream",0.2788586251621271
"'baking needs','bread and cake',juice-sat-cord-ms",0.2788586251621271
"vegetables,biscuits,'frozen foods'",0.27864245568525725
"beef,vegetables",0.2784262862083874
"'bread and cake',confectionary",0.2782101167315175
"'pet foods',milk-cream",0.2777777777777778
'canned fruit',0.27734543882403806
"vegetables,fruit,juice-sat-cord-ms",0.27734543882403806
"'bread and cake','frozen foods','party snack foods'",0.2771292693471682
"'bread and cake','frozen foods',juice-sat-cord-ms",0.27691309987029833
"'baking needs',fruit,'frozen foods'",0.27669693039342846
jams-spreads,0.27626459143968873
"'breakfast food',vegetables",0.275832252485949
"'baking needs','frozen foods',milk-cream",0.275832252485949
"'baking needs',biscuits,fruit",0.275832252485949
"'bread and cake',milk-cream,'party snack foods'",0.27561608300907914
"'bread and cake','tissues-paper prd',milk-cream",0.27561608300907914
"'soft drinks',milk-cream",0.2753999135322093
"'bread and cake',vegetables,'party snack foods'",0.27496757457846954
'prepared meals',0.2747514051015997
"'soft drinks',fruit",0.27431906614785995
"sauces-gravy-pkle,'bread and cake',vegetables",0.2741028966709901
"'soft drinks','frozen foods'",0.2734543882403805
cleaners-polishers,0.27280587980977083
"'breakfast food','frozen foods'",0.27280587980977083
"'baking needs',vegetables,biscuits",0.27280587980977083
"sauces-gravy-pkle,margarine",0.27258971033290097
"'baking needs','pet foods'",0.27215737137916124
"'breakfast food',milk-cream",0.27215737137916124
"'bread and cake',biscuits,juice-sat-cord-ms",0.2719412019022914
"'bread and cake','canned vegetables'",0.2712926934716818
"biscuits,'frozen foods',milk-cream",0.2712926934716818
"'bread and cake','baking needs',vegetables,fruit",0.2710765239948119
"'baking needs','bread and cake','party snack foods'",0.27086035451794205
"'bread and cake',margarine,biscuits",0.27021184608733245
"'bread and cake',margarine,'frozen foods'",0.2697795071335927
"cheese,'frozen foods'",0.26826632079550367
"'bread and cake',vegetables,fruit,'frozen foods'",0.26826632079550367
"'pet foods','frozen foods'",0.26783398184176394
"'bread and cake','tissues-paper prd','frozen foods'",0.26761781236489407
"'breakfast food',biscuits",0.26718547341115434
"vegetables,biscuits,milk-cream",0.26718547341115434
"margarine,'party snack foods'",0.2667531344574146
"'bread and cake','laundry needs'",0.2667531344574146
"'baking needs',biscuits,milk-cream",0.2663207955036749
"biscuits,cheese",0.26523994811932555
"sauces-gravy-pkle,'bread and cake',fruit",0.2650237786424557
"'baking needs',sauces-gravy-pkle,'bread and cake'",0.2643752702118461
"vegetables,'tissues-paper prd',fruit",0.2643752702118461
"'soft drinks',vegetables",0.2641591007349762
"sauces-gravy-pkle,'bread and cake',milk-cream",0.26286208387375704
"biscuits,'bread and cake',vegetables,fruit",0.26264591439688717
"sauces-gravy-pkle,'bread and cake','frozen foods'",0.2624297449200173
"vegetables,margarine,fruit",0.2624297449200173
"vegetables,fruit,'party snack foods'",0.261348897535668
"'bread and cake','tissues-paper prd',biscuits",0.2611327280587981
"fruit,'dairy foods'",0.2607003891050584
"'baking needs','soft drinks'",0.2587548638132296
"beef,'frozen foods'",0.25832252485948987
"'soft drinks',biscuits",0.25789018590575014
"sauces-gravy-pkle,vegetables,fruit",0.2565931690445309
"beef,fruit",0.256376999567661
"'pet foods',biscuits",0.25616083009079116
"'bread and cake',juice-sat-cord-ms,'party snack foods'",0.25507998270644183
"'baking needs',vegetables,margarine",0.25507998270644183
"biscuits,'frozen foods','party snack foods'",0.25443147427583224
"vegetables,'dairy foods'",0.2539991353220925
"fruit,juice-sat-cord-ms,milk-cream",0.2535667963683528
"margarine,cheese",0.2527021184608733
"'bread and cake','baking needs',vegetables,milk-cream",0.2527021184608733
"beef,milk-cream",0.25248594898400345
"'baking needs',margarine,'frozen foods'",0.251621271076524
"'breakfast food',juice-sat-cord-ms",0.25118893212278426
"'soft drinks','party snack foods'",0.25118893212278426
"'bread and cake','baking needs',fruit,milk-cream",0.2509727626459144
"vegetables,'frozen foods',juice-sat-cord-ms",0.2503242542153048
"vegetables,'canned vegetables'",0.25010808473843493
"beef,'baking needs'",0.2496757457846952
"confectionary,milk-cream",0.24924340683095547
"'baking needs','frozen foods',juice-sat-cord-ms",0.24881106787721574
"vegetables,juice-sat-cord-ms,milk-cream",0.24881106787721574
"biscuits,fruit,'party snack foods'",0.24859489840034588
"fruit,'frozen foods',juice-sat-cord-ms",0.24859489840034588
"confectionary,fruit",0.248378728923476
"cheese,juice-sat-cord-ms",0.24816255944660615
"sauces-gravy-pkle,'bread and cake',biscuits",0.24816255944660615
"'soft drinks',juice-sat-cord-ms",0.24773022049286642
"'baking needs',vegetables,juice-sat-cord-ms",0.24751405101599655
"'baking needs',margarine,milk-cream",0.24686554258538695
"'bread and cake',fruit,biscuits,'frozen foods'",0.24686554258538695
"'dairy foods',milk-cream",0.2466493731085171
"biscuits,'frozen foods',juice-sat-cord-ms",0.24643320363164722
"'baking needs',vegetables,'tissues-paper prd'",0.24600086467790747
"'bread and cake',fruit,'frozen foods',milk-cream",0.24600086467790747
"'baking needs','canned vegetables'",0.2457846952010376
"confectionary,biscuits",0.24470384781668827
"'bread and cake',vegetables,'frozen foods',milk-cream",0.2444876783398184
"'baking needs',margarine,fruit",0.2438391699092088
"'baking needs',margarine,biscuits",0.24362300043233895
"'canned vegetables',fruit",0.24319066147859922
"'tissues-paper prd',fruit,milk-cream",0.24319066147859922
"'baking needs','dairy foods'",0.24297449200172935
"'bread and cake',stationary",0.24254215304798962
"'bread and cake',fruit,biscuits,milk-cream",0.24254215304798962
"'pet foods','tissues-paper prd'",0.2421098140942499
"biscuits,fruit,juice-sat-cord-ms",0.2421098140942499
"'bread and cake',vegetables,biscuits,'frozen foods'",0.24189364461738003
"'baking needs','tissues-paper prd','frozen foods'",0.2414613056636403
"'baking needs',sauces-gravy-pkle,vegetables",0.2414613056636403
'small goods',0.24124513618677043
"'baking needs',fruit,juice-sat-cord-ms",0.24124513618677043
"'baking needs',biscuits,'party snack foods'",0.24102896670990057
"'baking needs','tissues-paper prd',fruit",0.24102896670990057
"milk-cream,fruit,'party snack foods'",0.24102896670990057
"margarine,biscuits,'frozen foods'",0.24102896670990057
"'bread and cake','baking needs',vegetables,'frozen foods'",0.24102896670990057
"fruit,'frozen foods','party snack foods'",0.2408127972330307
"'canned vegetables','frozen foods'",0.24038045827929097
"'bread and cake',margarine,'tissues-paper prd'",0.24038045827929097
"'bread and cake',cheese,fruit",0.24038045827929097
"'baking needs',juice-sat-cord-ms,milk-cream",0.24038045827929097
"'bread and cake','baking needs',biscuits,'frozen foods'",0.24038045827929097
"'baking needs','frozen foods','party snack foods'",0.2401642888024211
"vegetables,margarine,milk-cream",0.2401642888024211
"cheese,'party snack foods'",0.23994811932555124
"'bread and cake',vegetables,cheese",0.23994811932555124
"vegetables,'frozen foods','party snack foods'",0.2395157803718115
"vegetables,biscuits,'party snack foods'",0.2395157803718115
"'tissues-paper prd',cheese",0.23929961089494164
"'frozen foods','dairy foods'",0.23886727194120191
"'baking needs','tissues-paper prd',milk-cream",0.23865110246433205
"'frozen foods',juice-sat-cord-ms,milk-cream",0.23865110246433205
"'bread and cake','pet foods',vegetables",0.23865110246433205
"sauces-gravy-pkle,vegetables,'frozen foods'",0.23843493298746218
"vegetables,confectionary",0.23800259403372243
"'breakfast food',margarine",0.23800259403372243
"vegetables,'tissues-paper prd','frozen foods'",0.23800259403372243
"'pet foods',juice-sat-cord-ms",0.23778642455685256
"'bread and cake',margarine,juice-sat-cord-ms",0.2375702550799827
"vegetables,'tissues-paper prd',milk-cream",0.2375702550799827
"biscuits,'dairy foods'",0.23735408560311283
"'baking needs','laundry needs'",0.23735408560311283
"margarine,fruit,milk-cream",0.23713791612624296
"'baking needs',vegetables,fruit,milk-cream",0.23713791612624296
"'baking needs',confectionary",0.2369217466493731
"'canned vegetables',biscuits",0.2369217466493731
"'bread and cake','tissues-paper prd',juice-sat-cord-ms",0.2369217466493731
"'baking needs',biscuits,juice-sat-cord-ms",0.2369217466493731
"vegetables,margarine,'frozen foods'",0.2369217466493731
"'bread and cake','baking needs',fruit,'frozen foods'",0.2369217466493731
"'breakfast food','tissues-paper prd'",0.23670557717250323
"sauces-gravy-pkle,vegetables,milk-cream",0.23670557717250323
coffee,0.23648940769563337
"biscuits,'bread and cake','baking needs',fruit",0.23648940769563337
"'breakfast food','party snack foods'",0.2362732382187635
"'bread and cake','pet foods',fruit",0.2362732382187635
"'tissues-paper prd',fruit,'frozen foods'",0.23605706874189364
"'baking needs',sauces-gravy-pkle,'frozen foods'",0.23540856031128404
"'bread and cake',biscuits,'frozen foods',milk-cream",0.23540856031128404
"'baking needs',vegetables,'party snack foods'",0.23519239083441418
"milk-cream,biscuits,'party snack foods'",0.23519239083441418
"'bread and cake','baking needs','frozen foods',milk-cream",0.2349762213575443
"'pet foods','party snack foods'",0.23432771292693472
"confectionary,'frozen foods'",0.23411154345006485
"sauces-gravy-pkle,cheese",0.23367920449632512
"'bread and cake','pet foods',milk-cream",0.23367920449632512
"'bread and cake','baking needs',vegetables,biscuits",0.23367920449632512
deodorants-soap,0.23281452658884566
"sauces-gravy-pkle,biscuits,'frozen foods'",0.23281452658884566
"'baking needs','tissues-paper prd',biscuits",0.2325983571119758
"vegetables,milk-cream,'party snack foods'",0.2325983571119758
"'laundry needs',fruit",0.23238218763510593
"'pet foods',margarine",0.23238218763510593
"milk-cream,'frozen foods','party snack foods'",0.23238218763510593
"'bread and cake',vegetables,biscuits,milk-cream",0.23238218763510593
"vegetables,biscuits,juice-sat-cord-ms",0.23216601815823606
"'baking needs','bread and cake',cheese",0.2319498486813662
"'breakfast food','bread and cake','baking needs'",0.2319498486813662
"'bread and cake',cheese,milk-cream",0.23173367920449633
"margarine,biscuits,fruit",0.23173367920449633
"'tissues-paper prd',biscuits,'frozen foods'",0.23151750972762647
"sauces-gravy-pkle,fruit,milk-cream",0.23151750972762647
"'breakfast food','bread and cake',fruit",0.2313013402507566
"'canned vegetables',milk-cream",0.23108517077388674
"'tissues-paper prd',biscuits,fruit",0.23108517077388674
"vegetables,'laundry needs'",0.23086900129701687
"'baking needs',fruit,'party snack foods'",0.230652831820147
"biscuits,juice-sat-cord-ms,'party snack foods'",0.230652831820147
"'bread and cake','tissues-paper prd','party snack foods'",0.23043666234327712
"'bread and cake',vegetables,fruit,juice-sat-cord-ms",0.23043666234327712
"beef,biscuits",0.23022049286640725
'dental needs',0.23000432338953739
"'laundry needs','frozen foods'",0.22957198443579765
"sauces-gravy-pkle,'bread and cake','party snack foods'",0.22957198443579765
"beef,'bread and cake',vegetables",0.22957198443579765
"'laundry needs',milk-cream",0.2293558149589278
"'bread and cake','baking needs',biscuits,milk-cream",0.2293558149589278
"biscuits,juice-sat-cord-ms,milk-cream",0.2287073065283182
"juice-sat-cord-ms,'frozen foods','party snack foods'",0.22849113705144833
"margarine,fruit,'frozen foods'",0.22849113705144833
"'baking needs',sauces-gravy-pkle,milk-cream",0.22849113705144833
"vegetables,fruit,'frozen foods',milk-cream",0.22849113705144833
"vegetables,margarine,biscuits",0.22762645914396887
"'baking needs',milk-cream,'party snack foods'",0.227410289667099
"margarine,'frozen foods',milk-cream",0.22719412019022914
"'breakfast food','bread and cake',vegetables",0.22719412019022914
"wrapping,'bread and cake'",0.2267617812364894
"sauces-gravy-pkle,fruit,'frozen foods'",0.2267617812364894
"'tissues-paper prd','frozen foods',milk-cream",0.22632944228274968
"'bread and cake',margarine,vegetables,fruit",0.2261132728058798
"'baking needs',sauces-gravy-pkle,fruit",0.22589710332900995
"sauces-gravy-pkle,'bread and cake','tissues-paper prd'",0.22589710332900995
"'baking needs','bread and cake','pet foods'",0.22568093385214008
"sauces-gravy-pkle,'bread and cake',juice-sat-cord-ms",0.22546476437527022
"'bread and cake','tissues-paper prd',vegetables,fruit",0.22546476437527022
"'dairy foods','party snack foods'",0.22524859489840035
"'bread and cake','canned fruit'",0.22481625594466062
"'baking needs',margarine,'tissues-paper prd'",0.22481625594466062
"vegetables,'tissues-paper prd',biscuits",0.22481625594466062
"vegetables,cheese,fruit",0.22481625594466062
"'breakfast food','bread and cake',milk-cream",0.22481625594466062
"'baking needs',vegetables,fruit,'frozen foods'",0.22460008646779075
"'baking needs',sauces-gravy-pkle,biscuits",0.2243839169909209
"'pet foods',vegetables,fruit",0.2243839169909209
"fruit,vegetables,biscuits,'frozen foods'",0.2243839169909209
"fruit,juice-sat-cord-ms,'party snack foods'",0.22416774751405102
"margarine,biscuits,milk-cream",0.2237354085603113
"'soft drinks','bread and cake',milk-cream",0.2237354085603113
"'breakfast food',sauces-gravy-pkle",0.22330306960657156
"'bread and cake','pet foods','frozen foods'",0.22330306960657156
"sauces-gravy-pkle,'bread and cake',margarine",0.2230869001297017
"'baking needs',juice-sat-cord-ms,'party snack foods'",0.22265456117596194
"sauces-gravy-pkle,'frozen foods',milk-cream",0.22265456117596194
"sauces-gravy-pkle,'pet foods'",0.2222222222222222
"'soft drinks','bread and cake',fruit",0.2222222222222222
"jams-spreads,'bread and cake'",0.22200605274535234
"'bread and cake',vegetables,fruit,'party snack foods'",0.22200605274535234
"'tissues-paper prd','laundry needs'",0.22178988326848248
"'bread and cake',cheese,biscuits",0.22157371379161261
"biscuits,'laundry needs'",0.22114137483787288
"'bread and cake',cheese,'frozen foods'",0.22114137483787288
"'breakfast food',vegetables,fruit",0.22114137483787288
"confectionary,'party snack foods'",0.22092520536100302
"sauces-gravy-pkle,vegetables,biscuits",0.22092520536100302
"'bread and cake',margarine,'party snack foods'",0.22070903588413315
"vegetables,juice-sat-cord-ms,'party snack foods'",0.2204928664072633
"biscuits,'baking needs',vegetables,fruit",0.2204928664072633
"'breakfast food','bread and cake',biscuits",0.22027669693039342
"'baking needs',margarine,juice-sat-cord-ms",0.2198443579766537
"'soft drinks','bread and cake','frozen foods'",0.21941201902291396
"fruit,vegetables,biscuits,milk-cream",0.21941201902291396
"'bread and cake','prepared meals'",0.2191958495460441
"'breakfast food','bread and cake','frozen foods'",0.21897968006917423
"'soft drinks','tissues-paper prd'",0.21876351059230437
"'bread and cake',margarine,'baking needs',vegetables",0.21876351059230437
"sauces-gravy-pkle,biscuits,fruit",0.2185473411154345
"'dairy foods',juice-sat-cord-ms",0.21811500216169477
"sauces-gravy-pkle,'bread and cake',vegetables,fruit",0.2172503242542153
"stationary,fruit",0.21638564634673585
"confectionary,juice-sat-cord-ms",0.21595330739299612
"'soft drinks',margarine",0.21595330739299612
"'bread and cake','pet foods',biscuits",0.21595330739299612
"'tissues-paper prd',biscuits,milk-cream",0.2155209684392564
"beef,'bread and cake',fruit",0.2148724600086468
"'bread and cake',biscuits,'frozen foods','party snack foods'",0.2148724600086468
"'soft drinks',sauces-gravy-pkle",0.21422395157803717
"margarine,'laundry needs'",0.21379161262429744
"stationary,milk-cream",0.21379161262429744
"sauces-gravy-pkle,'frozen foods','party snack foods'",0.2133592736705577
"'bread and cake',fruit,'dairy foods'",0.2133592736705577
"'bread and cake',fruit,biscuits,'party snack foods'",0.2133592736705577
"'bread and cake',margarine,'baking needs',milk-cream",0.2133592736705577
"beef,vegetables,fruit",0.21314310419368784
"beef,margarine",0.21292693471681798
"'baking needs','tissues-paper prd',juice-sat-cord-ms",0.21292693471681798
"margarine,'frozen foods',juice-sat-cord-ms",0.21292693471681798
"'bread and cake',fruit,juice-sat-cord-ms,milk-cream",0.21292693471681798
"margarine,'canned vegetables'",0.2127107652399481
"milk-cream,juice-sat-cord-ms,'party snack foods'",0.21249459576307825
"beef,'bread and cake','frozen foods'",0.21227842628620838
"'baking needs',vegetables,cheese",0.21206225680933852
"'bread and cake',cleaners-polishers",0.21184608733246865
"'bread and cake',margarine,'baking needs',fruit",0.21184608733246865
"beef,'bread and cake',milk-cream",0.2116299178555988
"'laundry needs',juice-sat-cord-ms",0.21119757890185906
"sauces-gravy-pkle,'canned vegetables'",0.2109814094249892
"beef,juice-sat-cord-ms",0.2109814094249892
"'baking needs',wrapping",0.21076523994811933
"'soft drinks',vegetables,'bread and cake'",0.21076523994811933
"beef,'tissues-paper prd'",0.21054907047124946
"'bread and cake',margarine,'baking needs','frozen foods'",0.21011673151750973
"'bread and cake','frozen foods',fruit,juice-sat-cord-ms",0.20968439256377
"vegetables,margarine,'tissues-paper prd'",0.20946822308690013
"'soft drinks','bread and cake',biscuits",0.20946822308690013
"'bread and cake','tissues-paper prd','baking needs',vegetables",0.20946822308690013
"'canned vegetables',juice-sat-cord-ms",0.20925205361003027
"vegetables,margarine,juice-sat-cord-ms",0.20925205361003027
"'baking needs',vegetables,biscuits,'frozen foods'",0.20925205361003027
"'bread and cake',vegetables,'canned vegetables'",0.2090358841331604
"'baking needs',sauces-gravy-pkle,'tissues-paper prd'",0.2090358841331604
"sauces-gravy-pkle,biscuits,milk-cream",0.2090358841331604
"fruit,'baking needs',biscuits,'frozen foods'",0.2090358841331604
"'tissues-paper prd','canned vegetables'",0.20881971465629054
"'tissues-paper prd','frozen foods','party snack foods'",0.20881971465629054
"vegetables,stationary",0.20860354517942067
"'bread and cake',margarine,cheese",0.20860354517942067
"'bread and cake',vegetables,'dairy foods'",0.20860354517942067
"sauces-gravy-pkle,biscuits,'party snack foods'",0.2083873757025508
"'tissues-paper prd','frozen foods',juice-sat-cord-ms",0.20817120622568094
"'bread and cake',vegetables,juice-sat-cord-ms,milk-cream",0.20817120622568094
'small goods2',0.20795503674881108
"'tissues-paper prd',biscuits,'party snack foods'",0.20795503674881108
"'breakfast food','frozen foods','baking needs'",0.20795503674881108
"'tissues-paper prd',fruit,juice-sat-cord-ms",0.2077388672719412
"margarine,'tissues-paper prd','frozen foods'",0.2077388672719412
"beef,'bread and cake','baking needs'",0.2077388672719412
"'baking needs',vegetables,'frozen foods',milk-cream",0.2077388672719412
"'bread and cake','party snack foods',fruit,milk-cream",0.20752269779507135
"'bread and cake','tissues-paper prd',fruit,milk-cream",0.20752269779507135
"'bread and cake',fruit,biscuits,juice-sat-cord-ms",0.20730652831820148
"'bread and cake',fruit,'frozen foods','party snack foods'",0.20730652831820148
"sauces-gravy-pkle,'frozen foods',juice-sat-cord-ms",0.20709035884133162
"'bread and cake',margarine,vegetables,milk-cream",0.20709035884133162
"'bread and cake','frozen foods',biscuits,juice-sat-cord-ms",0.20709035884133162
"vegetables,'tissues-paper prd',juice-sat-cord-ms",0.20687418936446172
"'bread and cake','frozen foods',vegetables,juice-sat-cord-ms",0.20687418936446172
"'baking needs',sauces-gravy-pkle,margarine",0.20665801988759186
"margarine,biscuits,juice-sat-cord-ms",0.20665801988759186
"'bread and cake',margarine,'baking needs',biscuits",0.20665801988759186
"vegetables,cheese,milk-cream",0.206441850410722
"'baking needs',sauces-gravy-pkle,'party snack foods'",0.20622568093385213
"'pet foods',vegetables,milk-cream",0.20622568093385213
"'breakfast food',fruit,'baking needs'",0.20622568093385213
"'baking needs','soft drinks','bread and cake'",0.20600951145698226
"'bread and cake','tissues-paper prd','baking needs',fruit",0.20600951145698226
"'bread and cake',margarine,fruit,milk-cream",0.2057933419801124
"'bread and cake',margarine,biscuits,'frozen foods'",0.20557717250324253
"'bread and cake','tissues-paper prd','baking needs',milk-cream",0.20557717250324253
"beef,sauces-gravy-pkle",0.20536100302637267
"'baking needs',sauces-gravy-pkle,juice-sat-cord-ms",0.20536100302637267
"'bread and cake',vegetables,biscuits,'party snack foods'",0.20536100302637267
"'bread and cake','canned vegetables',fruit",0.2051448335495028
"margarine,'tissues-paper prd',fruit",0.2051448335495028
"sauces-gravy-pkle,vegetables,juice-sat-cord-ms",0.2051448335495028
"'breakfast food',vegetables,'baking needs'",0.20492866407263294
"'bread and cake','baking needs',biscuits,'party snack foods'",0.20471249459576307
"cheese,fruit,milk-cream",0.2044963251188932
"margarine,fruit,juice-sat-cord-ms",0.2044963251188932
"vegetables,fruit,'dairy foods'",0.2044963251188932
"wrapping,vegetables",0.20428015564202334
"'pet foods',fruit,milk-cream",0.20428015564202334
"'baking needs','pet foods',vegetables",0.20428015564202334
"'bread and cake','baking needs',vegetables,juice-sat-cord-ms",0.20428015564202334
"'bread and cake','tissues-paper prd',vegetables,milk-cream",0.20406398616515348
"'bread and cake',confectionary,milk-cream",0.2038478166882836
"margarine,'tissues-paper prd',biscuits",0.2038478166882836
"sauces-gravy-pkle,vegetables,'party snack foods'",0.2038478166882836
"'bread and cake','tissues-paper prd',vegetables,'frozen foods'",0.2038478166882836
"'bread and cake','baking needs',fruit,juice-sat-cord-ms",0.2038478166882836
"'bread and cake','dairy foods',milk-cream",0.20363164721141375
"'soft drinks',vegetables,fruit",0.20363164721141375
"'bread and cake','tissues-paper prd','baking needs','frozen foods'",0.20363164721141375
'canned fish-meat',0.20341547773454388
"fruit,biscuits,'frozen foods',milk-cream",0.20341547773454388
"'bread and cake','frozen foods','baking needs',juice-sat-cord-ms",0.20341547773454388
"'tissues-paper prd',biscuits,juice-sat-cord-ms",0.20319930825767402
"'breakfast food',fruit,milk-cream",0.20319930825767402
"'bread and cake',vegetables,'frozen foods','party snack foods'",0.20319930825767402
"'baking needs',fruit,'frozen foods',milk-cream",0.20298313878080415
"'bread and cake',vegetables,'baking needs',fruit,milk-cream",0.20298313878080415
